Cluster	cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
b	b	GO:0038065	collagen-activated signaling pathway	8/2026	17/28928	0.470588235294118	6.71923813948087	6.47306872810656	7.82217201602597e-06	7.49593327976981e-05	4.17262061775298e-05	Col1a1/Ddr1/Itga2/Ddr2/Tspan9/Ubash3b/Itga11/Enpp1	8
b	b	GO:1905037	autophagosome organization	25/2026	136/28928	0.183823529411765	2.62470239823471	5.21178501705876	7.88429134481531e-06	7.54331475771639e-05	4.19899557660074e-05	Ulk2/Pip4k2b/Gabarap/Pacs2/Sting1/Lrsam1/Map1lc3a/Rab33b/Ephb2/Pink1/Stx12/Mfn2/Rab43/Rab33a/Atg9a/Mtmr3/Atp13a2/Sh3glb1/Wipi1/Stbd1/Synpo2/Trim32/Epm2a/Irgm2/F830016B08Rik	25
b	b	GO:0071456	cellular response to hypoxia	28/2026	162/28928	0.172839506172839	2.46786832900686	5.14143090207163	7.93321316646678e-06	7.57793764906e-05	4.21826845228875e-05	Akt1/Cdkn1b/Stat3/Hif3a/Aqp1/Nol3/Sirt2/Zfp36l1/Bad/Ddr2/Atf2/Lmna/Clca1/Pink1/Slc9a1/Sirt4/Vhl/Acaa2/Vasn/Inhba/B3gat1/Bmyc/Kcnk3/Bcl2/Egln2/Kcnd2/Fndc1/Scn2a	28
b	b	GO:0008207	C21-steroid hormone metabolic process	13/2026	45/28928	0.288888888888889	4.12486563562575	5.75699150996753	8.19319389574376e-06	7.80123149977138e-05	4.34256525303674e-05	Stat5b/Cyp46a1/Ednrb/Dab2/Cacna1h/Akr1cl/Hsd3b1/Dkk3/Akr1c14/Wnt4/Afp/Cyp2d22/Kcnma1	13
b	b	GO:0043500	muscle adaptation	26/2026	145/28928	0.179310344827586	2.56026142900909	5.16883273985651	8.36209768820497e-06	7.93324830160882e-05	4.41605257058309e-05	Ccn4/Nol3/Igf1/Ppara/Nr3c1/Rgs2/Gsn/Lmna/Nr4a3/Slc9a1/Nos3/Mtpn/Bmp10/Tnfrsf1a/Mef2a/Slc25a4/Scn5a/Camta2/Pde9a/Prkca/Selenon/Pde5a/Tead1/Ece1/Akap6/Gdf1	26
b	b	GO:0000045	autophagosome assembly	24/2026	128/28928	0.1875	2.67719644619941	5.2188138777825	8.37183655420995e-06	7.93324830160882e-05	4.41605257058309e-05	Ulk2/Pip4k2b/Gabarap/Pacs2/Sting1/Lrsam1/Map1lc3a/Rab33b/Ephb2/Pink1/Stx12/Mfn2/Rab43/Rab33a/Atg9a/Mtmr3/Sh3glb1/Wipi1/Stbd1/Synpo2/Trim32/Epm2a/Irgm2/F830016B08Rik	24
b	b	GO:0048144	fibroblast proliferation	27/2026	154/28928	0.175324675324675	2.50335252112152	5.13334206869591	8.71434421284763e-06	8.20554784978738e-05	4.56762845400258e-05	Pdgfb/Aqp1/Cav1/Esr1/Igf1/Egfr/B4galt7/Fgf10/Fbxo4/Pdgfrb/Smarca2/Col3a1/Ddr2/Ski/Fam114a1/Kcnj8/Vegfd/Gas6/Pdgfd/Lzts2/Fndc3b/Zfp469/Bmyc/Trim32/Sphk1/Agtr2/Btc	27
b	b	GO:0032984	protein-containing complex disassembly	39/2026	265/28928	0.147169811320755	2.10134664456406	4.94271173079079	8.83964408918023e-06	8.31038261843784e-05	4.62598485884263e-05	Flii/Arpc2/Lamp2/Gabarap/Plek/Apc2/Akap5/Klc1/Stmn4/Spast/Svil/Add3/Vil1/Gsn/Map1a/Stmn2/Stmn3/Map1lc3a/Add1/Mtpn/Add2/Vps4a/Tmod2/Rubcnl/Eef2k/Rubcn/Mical2/Ppp1r9b/Plekhh2/Lmod1/Bmyc/Nckap5/Vamp8/Per2/Tecpr1/Clec16a/Irgm2/H2ac25/Ttbk2	39
b	b	GO:0035909	aorta morphogenesis	12/2026	39/28928	0.307692307692308	4.39334801427595	5.81933803619106	8.87139315777034e-06	8.32707581733301e-05	4.63527714884663e-05	Acvrl1/Fkbp10/Naglu/Mylk/Pdgfrb/Efemp2/Eya1/Col3a1/Dll4/Adamts9/Tgfbr2/Lrp1	12
b	b	GO:0021885	forebrain cell migration	17/2026	73/28928	0.232876712328767	3.32510243546228	5.45848493385565	8.90896989510032e-06	8.33605029021101e-05	4.64027280037748e-05	Axl/Tnr/Ndel1/Egfr/Robo1/Col3a1/Slit2/Fgfr1/Dixdc1/Arx/Reln/Sun2/Disc1/Mdga1/Ccdc141/Cdk5r1/Cxcl12	17
