Genes	baseMean	log2FoldChange	pvalue	padj	Cluster	is.TF	Phenotype
Mmp11	1514.66624605287	2.09249372319299	1.3520307101719e-99	2.33118558238061e-98	a	-	-
Mmp14	4913.13851040668	6.82570630177106	0	0	b	-	infertility; absent sexual maturation
Mmp15	748.907416045261	0.519429000039568	1.71391252890011e-17	4.83782306106907e-17	a	-	-
Mmp16	2278.36458445587	8.97108709850336	1.71623311391074e-292	2.32329738891388e-290	b	-	-
Mmp17	252.265276550041	-0.516449380382079	2.66175481678019e-27	1.04480095611933e-26	f	-	-
Mmp19	17.399317469569	-0.608671206204326	0.000109507977204542	0.000165795421629577	f	-	-
Mmp2	5884.59348132774	6.40170677897851	4.05466997768194e-130	1.12951520806854e-128	b	-	-
Mmp25	851.090382358232	-2.22443567945137	0	0	e	-	-
Mmrn1	23.3369013452476	4.48117734989571	5.68401697173377e-06	9.34781104387541e-06	a	-	-
Mmrn2	258.648870950637	-3.05999394793798	3.67000585744748e-25	1.3487703824319e-24	f	-	-
Mms19	1345.10140339028	-0.982616922367782	2.47550370073048e-24	8.83415046143033e-24	f	-	-
Mms22l	819.047076263425	-1.31464617449722	1.89448760993297e-63	1.74335432869112e-62	e	-	-
Mn1	480.73535056752	3.77461551420517	4.52495927301988e-35	2.22112175283385e-34	b	-	-
Mnat1	810.986931043534	-1.04227185083561	8.5598444834098e-09	1.65108634760071e-08	e	-	-
Mnd1	253.821558719433	-1.76349340317353	1.96741857329912e-15	5.13812439901779e-15	e	-	-
Mndal	110.680411860562	5.7552912901912	1.2920476599074e-38	6.9526086298565e-38	a	-	-
Mns1	479.551028200009	-0.900546511249775	3.94244002729573e-08	7.33831450535273e-08	e	-	male infertility; decreased testis weight
Mnt	1589.49815681889	-0.541252364106125	0.000120392740416642	0.000181687220197585	d	Yes	-
Mnx1	17.5512811608894	-2.46763845807601	5.76529894664187e-05	8.8855473039136e-05	f	Yes	-
Mob1a	3057.54964066626	0.542096383033992	0.000201691394893826	0.000299574269891266	a	-	-
Mob1b	1233.19546936077	0.791702099521245	1.54983613391257e-29	6.49432485891221e-29	d	-	-
Mob3a	805.771896935054	0.890387364853333	8.77267087275483e-11	1.87031561754164e-10	b	-	-
Mob3b	297.711046656935	0.662373587365329	1.01867610715877e-13	2.47162118727014e-13	e	-	-
Mob4	1302.36212313704	0.815969526844313	2.69016360433595e-14	6.69272172524648e-14	a	-	-
Mobp	20.222518087002	-6.85151615831313	1.36093203026599e-20	4.28446408913259e-20	f	-	-
Mocos	45.6609222003382	-5.12728310015417	2.92571259074864e-35	1.44477456244989e-34	e	-	-
Mocs2	459.515812930501	0.784885407786785	1.3052390835427e-16	3.58120874178048e-16	a	-	-
Mocs3	283.444258885764	-0.943232468410856	4.93375590024509e-16	1.32245003511724e-15	f	-	-
Mogat2	254.847610654567	-2.74454078208028	6.31128113489532e-43	3.75649654758668e-42	d	-	abnormal testis morphology; small testis
Mok	162.90030321154	-3.13871931877298	2.43140974599027e-54	1.85757890108772e-53	f	-	-
Mon1b	454.608498917797	1.02973943489471	0.00143945364225081	0.00201145288006042	c	-	-
Mon2	1818.96398441541	0.693490889333714	0.00529084062320382	0.00706768629979437	b	-	-
Morc1	590.844814443716	-6.51656340062925	1.47841683185805e-35	7.37183187392235e-35	f	-	small testis; male infertility
Morc3	1492.51903018056	-1.99225218865925	4.21742711477718e-75	4.91682961850891e-74	f	-	-
Morc4	365.689078215167	2.25560975751233	1.29041469610357e-32	5.90748818395096e-32	b	-	-
Morf4l2	9655.90832703377	-0.539330935372349	0.00709919244907463	0.00938916207636999	e	-	-
Mosmo	577.430575435768	0.673920397001931	1.76861995629247e-13	4.25216422781018e-13	d	-	-
Mospd1	332.523088504799	0.860599533379661	1.29564636429863e-23	4.51642635607822e-23	d	-	-
Mov10	2332.55015923703	-2.18486874197537	8.47532921027637e-80	1.07284306386651e-78	f	-	-
Mov10l1	54.9788718306312	-5.06800064928158	3.76396972391737e-45	2.36040674110898e-44	e	-	small testis; male infertility; decreased testis weight
Moxd1	248.76810816731	6.28052883553632	6.2591193970421e-67	6.23627589559304e-66	b	-	-
Mpc2	462.104799449088	0.861163017147547	4.7914099648668e-22	1.57977647392347e-21	b	-	-
Mpdu1	1789.68000766718	-1.2911724328398	1.06533097750594e-10	2.26477889831892e-10	f	-	-
Mpdz	2339.59737497336	2.78024714522267	8.41493737574654e-75	9.76180412285611e-74	a	-	-
Mpeg1	13.3683899597598	3.30015338732392	6.49497451775464e-05	9.9828922399194e-05	a	-	-
Mphosph10	1137.52223224348	-1.58205360813551	1.34757828484891e-20	4.24405543276776e-20	e	-	-
Mphosph6	783.910173552952	-1.97422082328464	5.67984518879406e-10	1.16615522928612e-09	f	-	-
Mphosph8	1294.29798695499	-1.6641886964108	1.36225068249839e-22	4.57622358066524e-22	e	-	-
Mpi	596.363701157346	-0.746291643483377	1.50787865612611e-05	2.41060437120298e-05	f	-	-
Mpp1	843.316336087866	-1.40054464667918	1.16369203213406e-27	4.61420370040086e-27	f	-	-
Mpp2	498.127707821295	3.2147614047215	3.93465923649819e-31	1.72509952606639e-30	b	-	-
Mpp3	73.4849600178045	3.38015168441159	7.31001232888394e-07	1.2658632196545e-06	c	-	-
Mpp7	253.644838940485	-3.2653593180729	4.59919520253192e-59	3.88925231891961e-58	e	-	-
Mppe1	201.509610838551	-1.42714825414853	5.21582845245817e-15	1.33743378289394e-14	f	-	-
Mpped2	475.797068383253	0.551555123877302	2.1874399442819e-16	5.95088295753821e-16	a	-	-
Mprip	7963.0955470703	1.55318453502641	1.11515308406948e-24	4.03138545951404e-24	b	-	-
Mpv17l	199.259444622544	-2.18710551591566	2.96879229253808e-14	7.36242509489382e-14	f	-	-
Mpv17l2	349.701847798229	-1.25478537258817	4.66841939625377e-15	1.20158249073911e-14	f	-	-
Mpzl2	276.346048825737	-4.91860892255494	2.75348679074117e-10	5.75208693181232e-10	f	-	-
Mpzl3	59.276683486426	-2.40213097584926	6.77465120590013e-13	1.58685523741805e-12	f	-	-
Mr1	222.851093259365	6.67771782800691	4.15254104503935e-69	4.3131656510935e-68	b	-	-
Mras	428.595304379042	-0.767524472492144	6.64317331403004e-106	1.28017857510367e-104	f	-	-
Mrc1	19.5516361514078	1.85916658290627	0.000469863793333501	0.000681396098698782	c	-	-
Mrc2	4860.82504352812	7.53560432434556	6.22522713759971e-322	1.21391929183194e-319	b	-	-
Mre11a	1238.23647739295	-1.10986415602237	2.42915228731257e-14	6.05163718116805e-14	e	-	-
Mreg	769.281881147803	-5.76294714930501	2.62118813076124e-113	5.61242635057112e-112	f	-	-
Mrgbp	653.975377617461	0.875607614450938	1.5380026114086e-19	4.68348815297879e-19	a	-	-
Mrgpre	71.8891796877161	7.35838665370989	2.71649474412973e-23	9.36170500922468e-23	a	-	-
Mrgprf	7.07799337638717	-2.335822305832	0.00404295380277149	0.00545723801313532	f	-	-
Mrm1	246.663803871957	-1.99277353915642	1.05680069442285e-33	4.97711195360732e-33	f	-	-
Mrm2	288.826519777224	-0.711395811509118	4.16432996232438e-08	7.73726460785769e-08	f	-	-
Mro	9.73260948591756	6.27883179118717	0.00023551111527855	0.000348008305661943	b	-	-
Mroh1	835.94695802947	0.64748030175316	5.48076214735732e-15	1.40295177330384e-14	d	-	-
Mrpl1	608.906397689263	-1.02199994361173	5.93057590351134e-12	1.33346373781079e-11	e	Yes	-
Mrpl11	1179.64289707161	-0.875204390101897	3.07436494643982e-09	6.07162983152693e-09	e	-	-
Mrpl12	2486.25521696009	-1.14554449001964	4.65996462610554e-19	1.39568880189447e-18	e	-	-
Mrpl15	2028.61943115439	-2.15639015173261	1.61934828961293e-50	1.14282313588366e-49	e	-	-
Mrpl16	615.713834310393	-1.03354800098675	3.65765045872101e-19	1.10052010495684e-18	e	-	-
Mrpl17	1640.74268328138	-1.50813121046959	6.83654860957449e-63	6.22125923471278e-62	e	-	-
Mrpl18	1173.79592101543	-1.69496251076158	3.89381417346934e-18	1.12706619829347e-17	e	-	-
Mrpl19	1033.68904383898	-1.21219002230892	1.64579204061258e-15	4.31260176375525e-15	e	-	-
Mrpl2	1447.16841733889	-1.27712544824962	4.91461695831677e-24	1.73981901398808e-23	e	Yes	-
Mrpl20	1120.48330983946	-0.939922508445602	5.15162986310665e-22	1.69683686220967e-21	e	-	-
Mrpl21	864.982419033265	-0.749818828183671	2.73590264573368e-15	7.1054519323161e-15	e	-	-
Mrpl22	920.14464240041	-0.648979978653982	0.000770136097003495	0.00110019442429071	e	-	-
Mrpl23	114.651827895644	2.60029985393179	2.39066861147028e-05	3.77801754518892e-05	c	-	-
Mrpl24	1230.54602343715	-1.21270639948652	1.77760926491884e-12	4.08949996620373e-12	e	-	-
Mrpl28	1347.08017539149	-0.609472684788769	9.05951446392338e-14	2.20235747876321e-13	e	-	-
Mrpl33	520.853977161687	-0.575938859715062	4.75484422080458e-10	9.80417275135688e-10	e	-	-
Mrpl34	553.238886839041	-0.767119469905535	1.09066973915523e-20	3.44954051503431e-20	e	-	-
Mrpl35	424.564657705151	-1.96337151645838	2.76759131884092e-27	1.08530394547796e-26	f	-	-
Mrpl36	557.807590174697	-0.942968787899741	1.67486118128392e-15	4.38666871593071e-15	e	-	-
Mrpl37	1322.3118267342	-1.08337975399142	3.21784098313481e-29	1.3326987434576e-28	e	-	-
Mrpl38	1770.65439036276	-1.09303536645729	1.35777386279735e-10	2.87268611116256e-10	e	-	-
Mrpl39	1239.95037762443	-1.16733206747658	1.19622203947618e-06	2.04681050941397e-06	f	-	-
Mrpl4	1098.60269086846	-0.925882042164149	1.30208431185497e-23	4.53790234642221e-23	f	-	-
Mrpl40	908.113927833256	-1.505084793968	7.86980625293276e-50	5.46217908572197e-49	e	-	-
Mrpl41	564.904973727164	0.809499498865831	4.27610579208932e-08	7.93863911078126e-08	b	-	-
Mrpl42	1467.52401805067	-1.14711005775009	2.20299022826642e-13	5.27789672941405e-13	e	-	-
Mrpl43	913.862952769162	-1.20215342804013	2.20155487642012e-24	7.87712295232888e-24	e	-	-
Mrpl44	695.624774625189	-0.791376632530629	1.00122394233314e-15	2.6451690605511e-15	e	-	-
Mrpl45	2085.13943195593	-1.57131916338945	1.96049484861889e-19	5.94573331241945e-19	f	-	-
Mrpl46	596.059609811544	-0.956170842486813	1.08887843514559e-09	2.2016823562134e-09	e	-	-
Mrpl47	709.049479671037	-1.51932525262311	4.74630358920066e-15	1.22066969368985e-14	e	-	-
Mrpl49	1248.22825080233	-0.775279792221711	2.9008068906669e-08	5.43901292000043e-08	e	-	-
Mrpl51	1265.97331873567	-1.20233718780845	6.61783477998335e-09	1.28420961611334e-08	f	-	-
Mrpl55	758.53095497405	-0.811409704121606	8.56470086450272e-09	1.65182856659078e-08	f	-	-
Mrpl57	497.850587449649	-0.904065060417627	6.27243185905539e-09	1.21949476381397e-08	e	-	-
Mrpl58	1104.4913542115	-0.659069099131907	0.00241859249076778	0.00332493033980497	f	-	-
Mrps10	788.328108365341	-1.45561090782447	2.80769412121065e-23	9.67193053741964e-23	e	-	-
Mrps12	688.45154161683	-1.23686396243034	2.0138650028567e-23	6.96959829849836e-23	f	-	-
Mrps14	727.287902124072	-1.36544745776177	1.11631763167218e-16	3.07470704671099e-16	e	-	-
Mrps15	879.390006624007	-0.780603434030138	8.34588629745835e-08	1.52607298004429e-07	f	-	-
Mrps16	703.786156526759	-0.72437772804166	4.73038191816881e-09	9.24074607270186e-09	e	-	-
Mrps18b	1166.39825174203	-2.68559144952916	6.84421225849739e-136	2.04950999623743e-134	e	-	-
Mrps18c	628.728129011491	-0.967615717472101	6.73844510720092e-06	1.10364694386512e-05	f	-	-
Mrps2	1681.49102204096	-2.02324289870081	7.88107608615132e-63	7.15587728886689e-62	f	-	-
Mrps21	643.482464897115	0.535652136244239	0.00137079098264021	0.00191894336344301	a	-	-
Mrps22	689.024952498042	-0.69932792084147	6.21594115347051e-06	1.01990499943751e-05	e	-	-
Mrps24	1504.05314957772	-1.59560657366373	7.93428481164719e-50	5.50459911964341e-49	e	-	-
Mrps26	614.758776675956	-0.588456277589011	2.56707136989076e-07	4.57497867901324e-07	e	-	-
Mrps27	1049.9685706961	-0.944563564360163	2.56921000089457e-40	1.4461738767922e-39	e	-	-
Mrps28	416.338514305051	-1.9232668140977	5.52065766990956e-29	2.27206966414871e-28	f	-	-
Mrps30	1450.57878440341	-1.337088823686	4.3898834740462e-31	1.92211417548454e-30	f	-	-
Mrps31	720.348734805038	-1.55937665261134	1.27257464173833e-12	2.94417692537766e-12	f	-	-
Mrps34	755.961306360915	-0.922766400390974	2.67363629541091e-13	6.36820743330388e-13	e	-	-
Mrps35	933.618060563839	-0.91103182597979	5.21936754133263e-06	8.60092961036504e-06	e	-	-
Mrps36	541.074836468449	-0.90190773795388	1.01204611023726e-10	2.15373720744267e-10	e	-	-
Mrps5	1908.86564299431	-1.71404739558354	6.6267910482009e-38	3.51170615883309e-37	e	-	-
Mrps7	1522.6068733424	-0.604414283506821	0.000153685090788249	0.000230043113141873	f	-	-
Mrps9	964.591285829011	-0.907214408142737	4.97877516101047e-07	8.7249745519794e-07	d	-	-
Mrrf	610.642961710665	0.547321367248725	1.6144143319648e-09	3.2347531201937e-09	a	-	-
Mrtfa	1012.80459054616	1.29681772288354	5.5985766732311e-09	1.09068370489445e-08	b	-	-
Mrtfb	1676.22657580348	1.54147394142871	1.10554933139852e-65	1.07089876098804e-64	a	-	-
Mrto4	1758.19038932105	-1.72732047367644	9.48196522283686e-49	6.42326676385723e-48	e	-	-
Ms4a10	11.3833053763935	-1.38509342091884	0.000208057168246199	0.000308637603321205	e	-	-
Ms4a4d	30.2358738179561	3.30850206948781	2.91505504216893e-22	9.66962365142306e-22	d	-	-
Msantd4	1424.12071882798	0.890125087256567	9.84046823400401e-35	4.77873909495955e-34	a	-	-
Msc	47.6009588038779	-1.55017180470623	0.00108062907243823	0.00152631751371373	f	Yes	-
Msh2	4329.63215215191	-2.9882815035842	3.89509126003869e-96	6.39294537469276e-95	f	-	-
Msh3	758.018116648426	-0.547216390043861	3.12661801711199e-05	4.90039260552047e-05	e	-	-
Msh5	28.5062206291635	1.36395648703367	0.00264700986118031	0.00362525263596434	a	-	small ovary; abnormal ovarian follicle morphology; small testis; male infertility; female infertility; ovary cyst; absent ovarian follicles; ovary atrophy; decreased testis weight; ovary degeneration; abnormal ovarian bursa morphology
Msh6	7780.36178790046	-3.58243893466356	3.14296947572071e-124	7.9693250793042e-123	f	-	-
Msi1	1142.36747725518	-0.734831776497635	1.23582893680628e-25	4.60484030593424e-25	d	Yes	-
Msi2	2874.36455016028	1.42411561993252	1.64438464569601e-77	2.02063169516133e-76	a	Yes	-
Msl1	3563.69015629093	1.40667186871589	2.61982812472712e-72	2.89364697795214e-71	a	-	-
Msl2	1515.45697541452	0.616794059296561	3.24457614808327e-11	7.05136756078067e-11	a	-	-
Msl3	641.809201682347	2.04866275638481	3.3783663474133e-34	1.61616941503008e-33	b	-	-
Msln	25.763037075672	-5.7392498501346	1.31273565845678e-20	4.13830063231757e-20	f	-	-
Msmo1	2054.62069936704	-1.27566092263703	1.07083301890824e-26	4.12226670968673e-26	e	-	-
Msn	3836.13470054799	-0.843555538088358	7.10106306575896e-23	2.41121605541447e-22	e	-	-
Msra	201.402203935887	-0.976406647269814	0.000271840569219269	0.000400535083548765	f	Yes	-
Msrb1	414.55060047507	-0.846378424232852	7.15097870649479e-10	1.4608759193363e-09	f	-	-
Msrb2	233.16771725678	-1.21930129193336	1.32433848574269e-06	2.26059445565499e-06	f	-	-
Msrb3	304.65939369903	4.82593465959217	3.46167497454096e-46	2.22274543641634e-45	b	Yes	-
Mst1	6.06179627134852	-6.2008687561888	5.42660128936133e-05	8.37773130252013e-05	f	-	-
Mst1r	59.5975300572163	4.59554735220774	3.60251491957672e-20	1.11717520603307e-19	d	-	abnormal ovary morphology; small ovary
Mstn	5.28660618523017	3.4577279600315	0.00285995359339223	0.00390676673002792	a	-	-
Msto1	1599.33858780255	-1.81177697280472	2.19329812452682e-44	1.35519514446433e-43	e	-	-
Msx1	426.182914034557	0.668735091393897	9.23426193739566e-122	2.26432949902007e-120	d	Yes	-
Msx2	280.542845826189	-2.85612256595425	2.09890409378212e-262	2.26184533264153e-260	d	Yes	-
Mt1	2723.13258224282	-5.07919109909059	6.76430006663584e-217	4.88102357231256e-215	e	-	-
Mt2	4050.53153749133	-6.46596488012757	4.03055703286665e-54	3.06075680103643e-53	e	-	-
Mt3	95.5557899382026	-1.74719742926083	9.42966979928589e-102	1.68622261257973e-100	e	-	-
Mta1	3712.10611432019	0.520795652185276	1.73439418927869e-18	5.08672816837689e-18	c	-	-
Mta3	1799.06716620603	-1.81085245074157	1.22391737735013e-79	1.54570290215845e-78	e	Yes	-
Mtap	1618.04103362848	-0.828001616729303	6.35326771756632e-08	1.16797446928997e-07	f	-	-
Mtarc2	1204.76892921015	-1.60366013487445	7.13870211649244e-26	2.67946701806018e-25	f	-	-
Mtbp	563.094677187577	-0.530476378436676	1.57497357237359e-06	2.67837075534463e-06	e	-	-
Mtch1	4497.57083772407	0.798774910152429	1.53424733240236e-20	4.8226772797449e-20	b	-	-
Mtch2	2441.40453104823	-0.948554369177699	7.2596231035201e-22	2.38063316187506e-21	f	-	-
Mtcl1	1323.4248051162	-1.89041314835376	1.71644920753198e-54	1.31564988392016e-53	d	-	-
Mtf1	506.516403367694	-0.839064664856875	1.32796309451735e-05	2.13213443326742e-05	f	Yes	-
Mtf2	2346.57342546011	-2.61084898695751	6.33165391584462e-72	6.9372903773602e-71	f	Yes	-
Mtfp1	243.469638814957	-1.89015286643764	4.9268490358101e-11	1.06102796748053e-10	f	-	-
Mtfr1	1426.55429657175	-1.83037891160922	1.38257071281681e-56	1.1057865369111e-55	e	-	-
Mtfr2	204.00471903557	-1.34144503991185	2.83953673302191e-11	6.19081747463049e-11	f	-	-
Mtg1	295.7343665888	-1.86383201976818	1.12898401073974e-41	6.55074675732092e-41	e	-	-
Mtg2	253.89840407733	-1.22597562962714	9.28241485363126e-17	2.56314826875388e-16	e	-	-
Mthfd1	3341.18452107113	-2.83549442728629	1.76093393521002e-165	7.81682868800546e-164	f	Yes	-
Mthfd1l	1548.49380742329	-2.83427416352769	5.37133667017305e-121	1.29386021555051e-119	f	-	-
Mthfd2	2114.3813822752	-2.62553714175175	0	0	e	-	-
Mthfd2l	278.653402304334	2.92006132710067	4.40658675542613e-60	3.82308744988772e-59	a	-	-
Mthfr	839.596661594959	0.513947888188792	0.0015531693877294	0.00216536850549047	e	-	-
Mthfsd	430.094422401367	1.69561564054195	3.10121158950611e-20	9.64455018722423e-20	a	-	-
Mtif2	956.728115441516	-0.780391175953817	2.96382683660603e-05	4.65237025238206e-05	e	-	-
Mtln	160.656475408196	-0.84642424048881	1.52377266479585e-11	3.36198764134646e-11	e	-	-
Mtm1	147.872792124774	-3.22648866043057	1.05769679576749e-27	4.19798243631488e-27	f	-	-
Mtmr10	443.156226555906	-0.713812711869787	2.40392263258011e-07	4.29028685134694e-07	d	-	-
Mtmr11	230.602950827046	4.21628790909553	1.27627277320576e-45	8.09970864979093e-45	b	-	-
Mtmr12	912.318101625962	-1.9003840732687	9.46309915883854e-37	4.8728564672045e-36	f	-	-
Mtmr14	907.913666326224	-0.607379660370243	1.43426202355405e-15	3.76674874872781e-15	e	-	small testis; reduced male fertility; decreased testis weight
Mtmr3	2774.68800181773	0.683008210369498	1.04544371296942e-08	2.00707548270501e-08	b	-	-
Mtmr4	2334.08224904847	1.02333007853463	2.28635725254436e-20	7.14295857270201e-20	a	-	-
Mtmr6	693.648068692574	1.67915794925523	5.12337039361192e-15	1.31537315121259e-14	b	-	-
Mtmr7	407.376775880921	-2.60700369424682	1.74534951843927e-20	5.47259286218132e-20	e	-	-
Mto1	288.866874840774	-0.763694273220574	1.07624104658004e-13	2.60897267174502e-13	e	-	-
Mtor	2230.68826517007	-0.883649083903713	6.01172419093014e-10	1.2321326607537e-09	e	-	-
Mtpap	721.487078950268	-0.706721834130142	0.000653101427770878	0.00093758119078764	e	-	-
Mtpn	4041.15807173194	0.893613878137196	5.36851549251201e-09	1.04636225330017e-08	b	-	-
Mtr	1424.44333413943	-0.89712419988226	2.1809319950818e-06	3.67338468683186e-06	f	-	-
Mtres1	443.391671746564	-1.08428266951346	1.86745922496271e-08	3.54039144732514e-08	e	-	-
Mtrex	2223.66238131796	-0.937326444127133	1.64251463817297e-14	4.1201209453711e-14	d	-	-
Mtrr	536.343340740107	-1.33610602486022	1.82003283331365e-16	4.96124776330132e-16	f	-	-
Mtss1	1109.61341562567	-0.765260851068322	6.99698355730392e-74	8.00353286792167e-73	d	-	-
Mtss2	2567.07907094228	1.49626996411799	5.21534455615737e-18	1.50215128942954e-17	b	-	-
Mttp	171.100102034219	0.751940478208469	0.0014345296886486	0.00200525655402493	c	-	-
Mturn	292.122452985819	2.3255198097283	2.1544754484258e-61	1.90449583622313e-60	a	-	-
