"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Gltpd2",0.2,0.19,0.41,0.22,0.34,0.22,0.21,0.53,0,0.1,0,0,0.17
"Gchfr",0.54,0.49,2.88,4.26,3.5,0.69,1.34,0.27,0.56,0.39,1.2,1.65,1.51
"Ddit4l",10.36,14.03,13.26,16.56,8.51,10.06,6.76,4.62,7.12,5.83,4.34,7.57,6.49
"Slc39a3",3.64,7,2.06,1.45,3.52,16.57,12.57,12.46,12.5,17.05,13.29,21.56,21.96
"Fam187b",0,0,1.05,0.57,0.64,0.27,0.26,0.16,0.09,0.13,0.12,0.5,0.31
"Krt1",0,0,0.44,0.26,0,0.76,1.4,1.25,1.96,1.95,3.25,3.7,3.34
"Brox",13.43,18.18,16.25,16.83,15.42,29.52,22.03,30.59,33.23,33.94,29.6,39.75,24.85
"Ckap4",53.65,71.26,29.42,36.49,103.36,132.07,109.45,129.55,145.4,163.79,164.92,204.38,196.23
"Vat1l",0.02,0,1.41,0.58,0.74,2.15,1.04,2.64,2.2,8.14,4.65,14.66,5.52
"Il1f10",0,0,0,0,0,0,0.17,0,0,0,0.45,0.19,0
"Spesp1",0.4,0.25,0.08,0.12,0,0,0,0,0,0,0,0,0
"Pip5kl1",0.45,1.37,2.31,1.62,0.48,1.42,0.58,0.43,0.15,0.24,0.09,0.29,0.69
"Cmklr2",0,0.04,0.19,0.25,0.09,0.12,0,0.04,0,0.04,0,0.04,0.19
"Hectd3",8.94,10.93,13.67,7.53,4.67,11.4,6.9,9.33,8.13,10.48,9.5,13.45,8.99
"Pramel12",4.34,6.78,7.58,8.99,13.62,17.04,13.69,14.84,17.2,17.84,13.57,13.45,12.42
"Fbl",472.57,400.22,469.02,498.02,433.06,232.19,239.09,173.12,209.09,157.46,186.53,182.1,181.13
"Mbtps2",19.39,34.91,25.57,29.66,23.66,19.93,17.87,21.55,17.19,23.91,18.05,27.16,13.05
"Atxn1",0.33,0.41,0.48,0.5,1.37,1.14,0.44,2.8,1.28,2.1,2.18,2.66,1.45
"Irgm1",6.23,4.83,31.88,63.13,12.08,9.29,10.21,8.87,8.74,13.02,10.51,19.74,14.32
"Or1ab2",0,0,0,0,0,0.01,0.05,0,0,0,0.01,0,0
"Zfp740",27.14,37.71,36.68,34.87,42.35,76.01,92.11,83.44,90.61,84.5,78.36,86.68,73.29
"Prl7a2",0,0,0,0,0,0,0,0,0,0,0,0.14,0
"Ltb4r1",0.63,0.87,0.27,0.62,0.3,0.12,0.06,0,0.16,0.16,0.05,0.31,0.09
"Tefm",49.85,47.37,35.29,31.31,24.57,29.17,19.17,27.28,25.44,29.46,18.67,22.16,19.6
"Myct1",0,0,0,0,0,0.22,1.55,0.56,1.64,1.57,1.75,1.27,2.07
"Gpr6",0,0,0.03,0,0,0,0,0,0,0,0,0,0
"Vmn1r193",0,0,0,0,0,0.07,0,0,0,0,0,0,0
"Csl",0.21,0.26,0.25,0.06,0.17,0.09,0.19,0.04,0,0.12,0,0.09,0.06
"Mageb16",74.21,80.97,29.96,50.23,9.9,10.65,10.56,13.7,13.6,13.89,7.53,8.87,5.58
"Adck2",2.71,4.11,5.55,3.94,5.89,15.85,12.48,18.16,22.73,25.74,18.76,24.22,22.88
"Nqo2",23.69,20.46,33.51,34.19,3.44,16.87,11.43,20.51,17.32,16.05,13.58,14.74,11.48
"Gm5815",0,0.69,0.07,0.21,0,0.11,0.18,0.11,0.28,0.09,0,0,0.16
"Spz1",0,0,0.08,0,0,0,0,0,0,0,0,0,0
"Slc26a1",0.05,0,0.09,0.09,0.11,0.72,0.72,0.81,0.76,1.18,1.34,0.87,1.37
"Gpr156",0.02,0.01,0.13,0.02,0.02,0.08,0.33,0.09,0.31,0.14,0.26,0.23,0.23
"Zbtb21",17.58,21.79,22.35,17.58,26.21,18.28,18.78,19.76,15.42,19.17,17.59,17.79,18.76
"Pla2g4f",0.18,0.26,0.14,0.3,0.03,0.03,0.03,0.03,0.04,0,0,0.22,0
"Timd6",0.23,0.27,0,0,0,0,0,0,0,0,0,0,0
"Tshz1",0.31,0.69,0.08,0.02,2.6,45.38,27.02,27.6,30.17,35.67,35.9,36.99,31.49
"Tapt1",6.41,10.51,7.67,7.24,8.47,16.18,15.36,19.94,20.38,25.86,20.01,26.18,22.55
"Wdr27",0.79,0.65,0.3,0.82,1.84,1.86,1.13,2.05,1.91,1.87,3.01,3.69,3.06
"Gm5637",0.15,1.08,0.58,0.3,0.23,0.08,0.28,0,0.11,0,0.12,0.17,0.85
"Mars2",1.55,2.8,2.43,2.08,3.04,1.1,1.18,1.13,1.51,1.38,1.1,1.24,1.01
"Spsb4",2.24,2.34,2.41,1.95,3.73,67.78,58.7,47.23,50.05,29.65,18.76,24.38,20.27
"1110032F04Rik",1.19,2.1,3.17,2.02,15.9,1.87,1.84,0.77,1.21,0.87,0.44,0.9,0.47
"Msgn1",0,0,0,0,64.7,0,0,0,0,0,0,0,0
"Zfp41",4.98,6.46,8.75,7.58,7.86,32.07,33.38,25.41,30.57,32.39,31.28,29.84,33.35
"Fbxo41",0.06,0.22,1.05,0.72,0.02,0.17,0.09,0.18,0.08,0.43,0.2,0.5,0.29
"Cfap65",0,0,0.03,0.02,0.02,0,0,0,0,0,0,0.05,0
"Mipol1",4.3,5.81,11.78,10.37,16.1,6.21,7.24,7.86,6.74,9.88,8.8,7.51,5.53
"Ccer1",0,0,0.03,0,0,0,0,0,0,0,0,0,0
"Acsm4",3.27,4.81,0,0,0,0,0,0,0,0,0,0,0
"Spata2",11.23,17.59,20.85,16.29,12.17,20.33,14.12,16.9,17.3,18.69,13.61,20.11,16.01
