"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Proser2",44,102,106,134,216,15,18,7,3,21,30,60,39
"Tlr9",3,0,0,0,0,1,0,0,0,0,0,0,2
"Fndc7",0,1,0,1,5,0,0,0,0,0,0,1,0
"Cenpe",1352,1769,2567,2545,1694,1852,2715,2362,2171,2413,2809,1724,953
"Magec2",11,26,10,5,1,2,1,0,3,2,1,7,1
"Zfp423",79,109,448,484,662,2110,1422,1642,1241,1447,1990,1484,1066
"Nyap1",52,62,179,145,352,218,202,246,162,323,277,398,216
"Sh2d5",14,40,76,80,22,3,5,1,7,11,1,10,7
"Fam186a",11,11,0,2,0,0,0,0,0,0,1,2,0
"Tnfrsf26",0,3,2,0,0,0,3,1,3,2,1,1,0
"Wdr81",374,632,969,716,733,1185,851,1294,757,1440,1174,1472,860
"Tmem88",20,36,625,464,608,40,102,58,118,131,229,126,158
"Pxt1",4,6,2,1,0,0,0,1,0,0,0,0,0
"Or10aa1",0,0,0,0,0,0,1,0,0,0,0,0,0
"Cxcr4",32,53,26,27,1061,81,119,164,134,334,362,219,229
"Or5m3b",0,0,0,0,0,8,6,12,6,86,50,113,64
"Epcam",1410,1505,8092,9443,272,67,66,61,59,150,105,427,146
"Kcnk13",0,1,2,2,10,0,1,1,0,1,0,3,0
"Trim39",158,230,335,289,228,246,287,275,219,349,273,256,184
"Akr1e1",106,155,58,69,23,135,123,196,138,210,184,133,85
"2410002F23Rik",677,974,1437,1182,481,1494,885,1181,954,1580,1365,1407,1040
"Dipk2a",518,708,622,736,250,2685,1144,2552,1424,3334,2718,2728,1502
"Hnrnph2",2405,3249,3658,5476,3702,4040,4553,4989,3811,4459,4235,3645,2048
"Tmem60",203,259,366,435,300,377,259,318,192,323,257,284,233
"Cox19",314,343,386,471,175,513,491,452,404,567,478,563,384
"Insm2",1,1,0,1,0,0,0,0,0,3,1,2,0
"Gprin3",2,9,3,3,0,252,58,181,37,255,120,399,53
"Zfp956",134,183,196,213,69,73,94,118,73,200,146,164,124
"Ttll13",35,36,15,20,4,4,6,5,3,15,6,13,6
"Hcrt",0,0,0,0,0,0,0,0,0,0,0,5,0
"Trrap",1618,5006,3812,4345,3785,6002,5000,4481,3456,4748,5109,5035,4079
"Bhlhe23",9,13,28,20,0,15,5,5,0,1,3,1,0
"Pcdhb3",1,0,0,0,1,46,78,64,58,71,60,75,36
"Sys1",571,606,900,1077,186,784,613,577,439,662,649,790,619
"Gpr150",0,0,3,6,2,2,3,0,0,0,0,0,0
"Pou3f3",32,43,23,16,27,149,51,95,16,82,35,100,30
"Onecut3",1,9,1,4,0,3,0,6,0,16,4,3,1
