"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Tapbpl",53.7025360795408,32.3693400712199,219.958763612091,224.667639411508,159.297786872429,48.5938280310042,20.3676715338677,50.2366694395282,42.4287070509455,64.568769884479,53.6295143051771,117.707963139539,108.63970827845
"Bend3",1587.66728460796,2358.91565769015,5271.12335907064,5899.13030340503,1120.22314639321,1498.30969762263,1344.26632123527,778.211679317782,698.825763192043,667.460888689556,598.304268967132,769.693205777692,617.806533824441
"Cep44",313.953287849623,261.989346201436,404.864337803929,362.677760764292,290.333063170717,341.056681921307,355.415868265992,369.01117188308,343.173365853235,284.553067281599,280.716988941161,210.37167880258,200.26355863377
"Pnmt",0,0,1.75265947101268,0.802384426469672,0,12.59839985989,4.07353430677355,0,1.24790314855722,7.50799649819523,5.86572812712875,11.6873154890322,3.92673644379941
"Tlcd2",148.71471529719,73.8425570374704,104.283238525254,67.4002918234524,60.3789998629367,265.466282761967,212.842167528918,229.26189144221,184.689665986468,241.757487241887,221.221746508856,207.86725405493,239.530923071764
"Serpinf2",1.37698810460361,0,0,0,2.56931914310369,18.897599789835,6.11030146016032,9.13393989809603,18.7185472283583,60.0639719855619,26.8147571525886,69.2890846849766,81.1525531718545
"Primpol",231.334001573406,178.031370391709,208.566477050509,171.71026726451,226.100084593125,229.470854590853,203.676715338677,232.915467401449,280.778208425374,235.000290393511,243.846697856352,210.37167880258,201.572470781703
"Hoxa9",15.1468691506397,16.1846700356099,1.75265947101268,0,589.658743342296,343.756339034141,460.309376665411,135.182310491821,265.803370642688,87.8435590288842,161.72650407655,105.18583940129,158.37836989991
"Gask1a",0,0,2.62898920651902,2.40715327940902,1.28465957155184,4.49942852138928,2.03676715338677,43.8429115108609,33.6933850110449,85.5911600794257,101.393300483225,116.873154890322,115.184269018116
"F11r",1893.35864382996,1626.5593385788,1551.10363184622,1890.41770876255,1309.06810341133,627.220335881665,1016.34680954,294.112864718692,584.018673524779,515.799359426013,765.058540009792,669.516215871702,890.060260594533
"Hoxa7",52.3255479749372,44.5078425979274,14.0212757681014,19.2572262352721,341.719446032791,577.726622146383,344.213648922365,376.318323801556,282.026111573932,407.684209852001,346.915920661614,307.209435711703,261.782429586627
"Hrc",2.75397620920722,3.03462563167687,14.0212757681014,17.6524573823328,8.99261700086291,1.79977140855571,6.11030146016032,17.3544858063825,14.9748377826866,12.7635940469319,12.5694174152759,3.33923299686634,9.16238503553196
